trade_id,season,trade_date,gave,received,pick_season,pick_round,pick_number,conditional,pfr_id,pfr_name
1734,2023,4/11/23,ATL,DET,2023,5,159,0,NA,NA
1735,2023,4/18/23,PIT,LA,2023,7,234,0,NA,NA
1735,2023,4/18/23,LA,PIT,NA,NA,NA,NA,RobiAl02,Allen Robinson
1735,2023,4/18/23,LA,PIT,2023,7,251,0,NA,NA
1736,2023,4/24/23,NYJ,GB,2023,1,13,0,NA,NA
1736,2023,4/24/23,NYJ,GB,2023,2,42,0,NA,NA
1736,2023,4/24/23,NYJ,GB,2023,6,207,0,NA,NA
1765,2023,4/29/23,NO,JAX,2024,4,116,0,NA,NA
1736,2023,4/24/23,GB,NYJ,NA,NA,NA,NA,RodgAa00,Aaron Rodgers
1736,2023,4/24/23,GB,NYJ,2023,1,15,0,NA,NA
1736,2023,4/24/23,GB,NYJ,2023,5,170,0,NA,NA
1737,2023,4/27/23,PHI,ARI,2023,3,94,0,NA,NA
1774,2023,4/29/23,DAL,KC,2024,5,159,0,NA,NA
1737,2023,4/27/23,ARI,PHI,2023,3,66,0,NA,NA
1738,2023,4/27/23,HOU,ARI,2023,1,12,0,NA,NA
1738,2023,4/27/23,HOU,ARI,2023,2,33,0,NA,NA
1775,2023,4/29/23,TB,PHI,2024,5,161,0,NA,NA
1777,2023,4/29/23,HOU,BUF,2024,6,200,0,NA,NA
1738,2023,4/27/23,ARI,HOU,2023,1,3,0,NA,NA
1738,2023,4/27/23,ARI,HOU,2023,4,105,0,NA,NA
1739,2023,4/27/23,DET,ARI,2023,1,6,0,NA,NA
1739,2023,4/27/23,DET,ARI,2023,3,81,0,NA,NA
1739,2023,4/27/23,ARI,DET,2023,1,12,0,NA,NA
1739,2023,4/27/23,ARI,DET,2023,2,34,0,NA,NA
1739,2023,4/27/23,ARI,DET,2023,5,168,0,NA,NA
1740,2023,4/27/23,PHI,CHI,2023,1,10,0,NA,NA
1778,2023,4/29/23,LA,BUF,2024,6,189,0,NA,NA
1740,2023,4/27/23,CHI,PHI,2023,1,9,0,NA,NA
1741,2023,4/27/23,PIT,NE,2023,1,17,0,NA,NA
1741,2023,4/27/23,PIT,NE,2023,4,120,0,NA,NA
1741,2023,4/27/23,NE,PIT,2023,1,14,0,NA,NA
1742,2023,4/27/23,NYG,JAX,2023,1,25,0,NA,NA
1742,2023,4/27/23,NYG,JAX,2023,5,160,0,NA,NA
1742,2023,4/27/23,NYG,JAX,2023,7,240,0,NA,NA
1742,2023,4/27/23,JAX,NYG,2023,1,24,0,NA,NA
1743,2023,4/27/23,JAX,BUF,2023,1,25,0,NA,NA
