league_id,player,player_id,season,season_position
1,Mark Roman,607,2006,S
1,John Engelberger,608,2006,ED
1,Marvel Smith,609,2006,T
1,Mike Brown,610,2006,S
1,Ian Gold,611,2006,LB
1,Cornelius Griffin,613,2006,DI
1,Chad Clifton,614,2006,T
1,Kenoy Kennedy,615,2006,S
1,Jerry Porter,617,2006,WR
1,Jason Webster,618,2006,CB
1,Cosey Coleman,620,2006,G
1,Todd Wade,621,2006,G
1,Fred Robbins,623,2006,DI
1,Deon Grant,624,2006,S
1,Travares Tillman,625,2006,S
1,Marcus Washington,626,2006,LB
1,Brad Meester,627,2006,C
1,Bobbie Williams,628,2006,G
1,Mark Simoneau,629,2006,LB
1,Erron Kinney,630,2006,TE
1,Darwin Walker,633,2006,DI
1,Kendrick Clancy,634,2006,DI
1,Hank Poteat,637,2006,CB
1,Laveranues Coles,638,2006,WR
1,Darrell Jackson,639,2006,WR
1,Reuben Droughns,640,2006,HB
1,Leander Jordan,641,2006,T
1,Damion McIntosh,642,2006,T
1,Greg Wesley,643,2006,S
1,Jeff Ulbrich,644,2006,LB
1,Nate Webster,646,2006,LB
1,David Macklin,647,2006,CB
1,T.J. Slaughter,648,2006,LB
1,John St. Clair,649,2006,T
1,Lewis Sanders,650,2006,CB
1,Terrelle Smith,651,2006,FB
1,Na'il Diggs,652,2006,LB
1,David Barrett,653,2006,CB
1,Brandon Short,655,2006,LB
1,Aaron Shea,657,2006,TE
1,Cooper Carlisle,658,2006,G
1,Tyrone Carter,660,2006,S
1,Isaiah Kacyvenski,661,2006,LB
1,Alvin McKinley,662,2006,DI
1,Peter Sirmon,666,2006,LB
1,Tutan Reyes,668,2006,G
1,Paul Smith,669,2006,FB
1,Clark Haggans,670,2006,ED
1,Brian Young,671,2006,DI
1,Ralph Brown,672,2006,CB
1,Shane Lechler,673,2006,P
1,Kabeer Gbaja-Biamila,675,2006,ED
1,Dante' Hall,677,2006,WR
1,Sammy Morris,678,2006,HB
1,Kiwaukee Thomas,680,2006,CB
1,Troy Walters,682,2006,WR
1,Chad Morton,683,2006,HB
1,Marc Bulger,684,2006,QB
1,Neil Rackers,685,2006,K
1,Dhani Jones,687,2006,LB
1,Jeno James,689,2006,G
1,Adalius Thomas,690,2006,ED
1,Mike Anderson,693,2006,HB
1,Robaire Smith,696,2006,DI
1,Matt Bowen,697,2006,S
1,Tom Brady,698,2006,QB
1,Brad Bedell,699,2006,T
1,Brad St. Louis,700,2006,LS
1,Tim Rattay,701,2006,QB
1,Delbert Cowsette,702,2006,DI
1,Mark Tauscher,705,2006,T
1,Kevin Houser,706,2006,LS
1,Brian Jennings,707,2006,LS
1,Patrick Pass,709,2006,HB
1,Rob Meier,710,2006,DI
1,Danny Clark,712,2006,LB
1,DaShon Polk,714,2006,LB
1,Alfonso Boone,715,2006,DI
1,Bennie Anderson,717,2006,G
1,Chris Bober,718,2006,G
1,Jamel Brooks,719,2006,LB
1,Deke Cooper,721,2006,S
1,J.P. Darche,722,2006,LS
1,Hank Fraley,725,2006,C
1,Mike Furrey,726,2006,WR
1,Bryan Gilmore,727,2006,WR
1,Steve Gleason,728,2006,S
1,Shayne Graham,730,2006,K
1,James Hall,733,2006,ED
1,Brad Hoover,740,2006,FB
1,Reggie Howard,741,2006,CB
1,Marlion Jackson,742,2006,HB
1,Doug Johnson,744,2006,QB
1,Cedric Killings,747,2006,DI
1,Dan Kreider,749,2006,FB
1,Mike Leach,750,2006,LS
1,Paris Lenon,751,2006,LB
1,Michael Lewis,753,2006,WR
1,Rian Lindell,754,2006,K
1,Dane Looker,755,2006,WR
1,Adewale Ogunleye,757,2006,ED
1,Shaun O'Hara,758,2006,C
1,Lonie Paxton,759,2006,LS
1,Derek Rackley,760,2006,LS
1,Blane Saipaia,761,2006,G
1,Chad Slaughter,762,2006,T
1,Justin Snow,764,2006,LS
1,Billy Volek,768,2006,QB
1,Todd Yoder,772,2006,TE
1,Michael Vick,773,2006,QB
1,Leonard Davis,774,2006,T
1,Gerard Warren,775,2006,DI
1,Justin Smith,776,2006,ED
1,LaDainian Tomlinson,777,2006,HB
1,Richard Seymour,778,2006,DI
1,Andre Carter,779,2006,ED
1,Dan Morgan,781,2006,LB
1,Damione Lewis,782,2006,DI
1,Marcus Stroud,783,2006,DI
1,Kenyatta Walker,784,2006,T
1,Rod Gardner,785,2006,WR
1,Santana Moss,786,2006,WR
1,Steve Hutchinson,787,2006,G
1,Jeff Backus,788,2006,T
1,Casey Hampton,789,2006,DI
1,Adam Archuleta,790,2006,S
1,Nate Clements,791,2006,CB
1,Will Allen,792,2006,CB
1,Deuce McAllister,793,2006,HB
1,Jamar Fletcher,796,2006,CB
1,Michael Bennett,797,2006,HB
1,Derrick Gibson,798,2006,S
1,Ryan Pickett,799,2006,DI
1,Reggie Wayne,800,2006,WR
1,Todd Heap,801,2006,TE
1,Drew Brees,802,2006,QB
1,Quincy Morgan,803,2006,WR
1,Kyle Vanden Bosch,804,2006,ED
1,Alge Crumpler,805,2006,TE
1,Chad Johnson,806,2006,WR
1,Anthony Thomas,808,2006,HB
1,Kendrell Bell,809,2006,LB
1,Ken Lucas,810,2006,CB
1,Robert Ferguson,811,2006,WR
1,Maurice Williams,813,2006,T
1,Kris Jenkins,814,2006,DI
1,Fred Smoot,815,2006,CB
1,Aaron Schobel,816,2006,ED
1,Jamie Winborn,817,2006,LB
1,Matt Light,818,2006,T
1,Lamont Jordan,819,2006,HB
1,Dominic Raiola,820,2006,C
1,Chris Chambers,821,2006,WR
1,Michael Stone,822,2006,CB
1,Travis Henry,825,2006,HB
1,Marques Tuiasosopo,826,2006,QB
1,Andre Dyson,827,2006,CB
1,Shaun Rogers,828,2006,DI
1,Gary Baxter,829,2006,CB
1,Derrick Burgess,830,2006,ED
1,Adrian Wilson,831,2006,S
1,Mike Gandy,834,2006,G
1,Bhawoh Jue,836,2006,S
1,Steve Smith,837,2006,WR
1,Ron Edwards,838,2006,DI
1,William James,839,2006,CB
1,Kareem McKenzie,840,2006,T
1,Kevan Barlow,841,2006,HB
1,Heath Evans,843,2006,FB
1,Dwight Smith,845,2006,S
1,Travis Minor,846,2006,HB
1,Reggie Hayward,848,2006,ED
1,Morlon Greenwood,849,2006,LB
1,Casey Rabach,852,2006,C
1,Jonas Jennings,854,2006,T
1,Anthony Henry,855,2006,CB
1,Roberto Garza,856,2006,G
1,Rudi Johnson,857,2006,HB
1,Matt Stewart,858,2006,ED
1,Orlando Huff,859,2006,LB
1,Chris Weinke,861,2006,QB
1,Monty Beisel,862,2006,LB
1,Sage Rosenfels,863,2006,QB
1,Ben Hamilton,864,2006,G
1,Moran Norris,865,2006,FB
1,John Howell,866,2006,ST
1,Ryan Diem,867,2006,T
1,Nick Harris,868,2006,P
1,Correll Buckhalter,869,2006,HB
1,Marcus Bell,871,2006,DI
1,Justin McCareins,872,2006,WR
1,Ed Hartwell,874,2006,LB
1,Floyd Womack,875,2006,G
1,Brandon Manumaleuna,876,2006,TE
1,Matt Lehr,880,2006,G
1,Alex Bannister,882,2006,ST
1,Jarrod Cooper,884,2006,S
1,Jerametrius Butler,885,2006,CB
1,Chukky Okobi,886,2006,C
1,Tony Stewart,887,2006,TE
1,Derrick Blaylock,889,2006,HB
1,Russ Hochstein,890,2006,G
1,A.J. Feeley,893,2006,QB
1,Patrick Chukwurah,895,2006,ED
1,Cedrick Wilson,901,2006,WR
1,Jason Glenn,903,2006,LB
1,Jameel Cook,904,2006,FB
1,Dee Brown,905,2006,HB
1,Rodney Bailey,906,2006,DI
1,Ellis Wyms,908,2006,DI
1,Chris Cooper,909,2006,DI
1,Kevin Kasper,913,2006,WR
1,Jimmy Williams,915,2006,CB
1,David Martin,916,2006,TE
1,Adam Haayer,917,2006,T
1,Brandon Gorin,918,2006,T
1,Renaldo Hill,919,2006,S
1,T.J. Houshmandzadeh,921,2006,WR
1,James Reed,922,2006,DI
1,Kynan Forney,926,2006,G
1,Rick DeMulling,927,2006,G
1,Dennis Norman,928,2006,G
1,Eric Johnson,929,2006,TE
1,Ross Kolodziej,931,2006,DI
1,Keith Adams,932,2006,ST
1,Marlon McCree,933,2006,S
1,Joe Tafoya,934,2006,ED
1,Terdell Sands,935,2006,DI
1,Tom Ashworth,938,2006,T
1,Jason Baker,939,2006,P
1,Jason Bell,940,2006,S
1,Drew Bennett,941,2006,WR
1,Aveion Cason,945,2006,HB
1,Antonio Chatman,946,2006,WR
1,Donte' Curry,950,2006,LB
1,Troy Evans,952,2006,LB
1,Demetric Evans,953,2006,ED
1,Jay Feely,955,2006,K
1,Nick Goings,956,2006,HB
1,Nick Harper,957,2006,CB
1,Tim Hasselbeck,958,2006,QB
1,Nathan Hodel,960,2006,LS
1,Chris Hoke,961,2006,DI
1,Chidi Iwuoma,962,2006,CB
1,Tim Johnson,963,2006,ST
1,Dave Kadela,965,2006,T
1,Kevin Kaesviharn,966,2006,S
1,Lance Legree,969,2006,DI
1,Stephen Neal,972,2006,G
1,Josh Parry,974,2006,FB
1,Antonio Pierce,975,2006,LB
1,Cleveland Pinkney,976,2006,DI
1,Dominic Rhodes,979,2006,HB
1,Marcellus Rivers,981,2006,TE
1,Brian Russell,983,2006,S
1,DeQuincy Scott,985,2006,DI
1,Rich Seubert,986,2006,G
1,Marcel Shipp,987,2006,HB
1,Nick Sorensen,989,2006,S
1,Josh Stamer,990,2006,LB
1,Juqua Parker,995,2006,ED
1,Lawrence Tynes,997,2006,K
1,Keydrick Vincent,998,2006,G
1,Fred Wakefield,999,2006,TE
1,Kenny Watson,1001,2006,HB
1,Daniel Wilcox,1002,2006,TE
1,Randal Williams,1003,2006,TE
1,LeVar Woods,1008,2006,LB
1,David Carr,1009,2006,QB
1,Julius Peppers,1010,2006,ED
1,Joey Harrington,1011,2006,QB
1,Quentin Jammer,1013,2006,CB
1,Ryan Sims,1014,2006,DI
1,Bryant McKinnie,1015,2006,T
1,Roy Williams,1016,2006,S
1,John Henderson,1017,2006,DI
1,Levi Jones,1018,2006,T
1,Dwight Freeney,1019,2006,ED
1,Donte' Stallworth,1020,2006,WR
1,Jeremy Shockey,1021,2006,TE
1,Albert Haynesworth,1022,2006,DI
1,Phillip Buchanon,1024,2006,CB
1,T.J. Duckett,1025,2006,HB
1,Ashley Lelie,1026,2006,WR
1,Javon Walker,1027,2006,WR
1,Daniel Graham,1028,2006,TE
1,Bryan Thomas,1029,2006,ED
1,Napoleon Harris,1030,2006,LB
1,Edward Reed,1031,2006,S
1,Charles Grant,1032,2006,ED
1,Lito Sheppard,1033,2006,CB
1,Mike Rumph,1034,2006,CB
1,Jerramy Stevens,1035,2006,TE
1,Marc Colombo,1036,2006,T
1,Kendall Simmons,1037,2006,G
1,Robert Thomas,1038,2006,LB
1,Patrick Ramsey,1039,2006,QB
1,Jabar Gaffney,1040,2006,WR
1,DeShaun Foster,1041,2006,HB
1,Kalimba Edwards,1042,2006,ED
1,Josh Reed,1043,2006,WR
1,Andre Gurode,1044,2006,C
1,Raonall Smith,1045,2006,ED
1,Toniu Fonoti,1046,2006,G
1,Mike Pearson,1047,2006,T
1,Lamont Thompson,1048,2006,S
1,Larry Tripplett,1049,2006,DI
1,Tim Carter,1053,2006,WR
1,Andre' Davis,1054,2006,WR
1,Reche Caldwell,1055,2006,WR
1,Chester Pitts,1057,2006,G
1,Clinton Portis,1058,2006,HB
1,Anthony Weaver,1059,2006,ED
1,Langston Walker,1060,2006,T
1,Maurice Morris,1061,2006,HB
1,Doug Jolley,1062,2006,TE
1,Ladell Betts,1063,2006,HB
1,Jon McGraw,1064,2006,S
1,Michael Lewis,1065,2006,S
1,Sheldon Brown,1066,2006,CB
1,Ryan Denney,1068,2006,ED
1,Antwaan Randle El,1069,2006,WR
1,Antonio Bryant,1070,2006,WR
1,Travis Fisher,1071,2006,CB
1,Deion Branch,1072,2006,WR
1,Fred Weary,1073,2006,G
1,Matt Schobel,1074,2006,TE
1,Andre' Goodman,1075,2006,CB
1,Ben Leber,1078,2006,LB
1,Will Witherspoon,1079,2006,LB
1,Melvin Fowler,1081,2006,C
1,Josh McCown,1085,2006,QB
1,Lamar Gordon,1088,2006,HB
1,Cliff Russell,1090,2006,WR
1,Chris Baker,1091,2006,TE
1,Akin Ayodele,1092,2006,LB
1,Brian Westbrook,1094,2006,HB
1,Terrence Metcalf,1096,2006,G
1,Chris Hope,1097,2006,S
1,Coy Wire,1099,2006,S
1,Dante Wesley,1101,2006,CB
